<Lavizzara, isCapitalOf, Ticino>
<Stockholm, isCapitalOf, Sweden>
<Albertville, isCapitalOf, Marsh>
<City, isCapitalOf, Washington>
<Vilnius, isCapitalOf, Lithuania>
<Rasht, isCapitalOf, Iran>
<Saignelégier, isCapitalOf, Switzerland>
<Egerkingen, isCapitalOf, Switzerland>
<Illinois, isCapitalOf, Illinois>
<Kobe, isCapitalOf, West>
<Forlì, isCapitalOf, Emilia-Romagna>
<Semione, isCapitalOf, Ticino>
<Gansingen, isCapitalOf, Aargau>
<São Tomé, isCapitalOf, São Tomé and Príncipe>
<Fehren, isCapitalOf, Switzerland>
<Schwieberdingen, isCapitalOf, Baden-Württemberg>
<Lübeck, isCapitalOf, North>
<German, isCapitalOf, Fürth>
<Biasca, isCapitalOf, Ticino>
<Zhang Fei, isCapitalOf, China>
<Kampala, isCapitalOf, Uganda>
<Oaxaca de Juárez, isCapitalOf, Oaxaca>
<Monrovia, isCapitalOf, Liberia>
<Tours, isCapitalOf, France>
<Olivone, isCapitalOf, Ticino>
<Niamey, isCapitalOf, Africa>
<Reading, isCapitalOf, American>
<Preston, isCapitalOf, England>
<Oekingen, isCapitalOf, Switzerland>
<Kojiki, isCapitalOf, Japan>
<Corte, isCapitalOf, Corsica>
<Lie, isCapitalOf, Aargau>
<Airolo, isCapitalOf, Ticino>
<Pet, isCapitalOf, Russia>
<Accra, isCapitalOf, Ghana>
<Prince, isCapitalOf, Haiti>
<Bath, isCapitalOf, Somerset>
<Chania, isCapitalOf, Chania>
<Obergerlafingen, isCapitalOf, Switzerland>
<Oberägeri, isCapitalOf, Zug>
<Hagen, isCapitalOf, Arnsberg Government Region>
<Grenoble, isCapitalOf, France>
<Meadow, isCapitalOf, Newfoundland>
<Erschwil, isCapitalOf, Switzerland>
<Aigle, isCapitalOf, Vaud>
<Man, isCapitalOf, China>
<Unkel, isCapitalOf, Neuwied>
<Empire, isCapitalOf, Governor>
<Carlisle, isCapitalOf, England>
<Lviv, isCapitalOf, Lviv>
<Aarwangen, isCapitalOf, Switzerland>
<Gifhorn, isCapitalOf, German>
<Sari, isCapitalOf, Mazandaran>
<Deitingen, isCapitalOf, Switzerland>
<Sydney, isCapitalOf, New South Wales>
<Schleitheim, isCapitalOf, Schaffhausen>
<City, isCapitalOf, Vietnam>
<Olympia, isCapitalOf, Washington>
<Lagos, isCapitalOf, Nigeria>
<Podgorica, isCapitalOf, Montenegro>
<Timişoara, isCapitalOf, Ban>
<Romania, isCapitalOf, Botoşani County>
<Aberdeen, isCapitalOf, American>
<Beach, isCapitalOf, Togo>
<Iquitos, isCapitalOf, Loreto Region>
<Dublin, isCapitalOf, Ireland>
<Karlsruhe, isCapitalOf, Germany>
<Speyer, isCapitalOf, Rhineland-Palatinate>
<Zofingen, isCapitalOf, Aargau>
<Locarno, isCapitalOf, Ticino>
<Mendoza, isCapitalOf, Mendoza Province>
<Bremerhaven, isCapitalOf, Germany>
<Möhlin, isCapitalOf, Aargau>
<Kleinlützel, isCapitalOf, Switzerland>
<Bex, isCapitalOf, Vaud>
<Albligen, isCapitalOf, Switzerland>
<Neuhausen am Rheinfall, isCapitalOf, Schaffhausen>
<Christchurch, isCapitalOf, South>
<Suva, isCapitalOf, Fiji>
<Carthage, isCapitalOf, Tunisia>
<Carthage, isCapitalOf, North Africa>
<Lucca, isCapitalOf, Tuscany>
<Hof, isCapitalOf, Schaffhausen>
<Bath, isCapitalOf, New South Wales>
<Dachau, isCapitalOf, Germany>
<Tayasal, isCapitalOf, May>
<Personico, isCapitalOf, Ticino>
<Guntmadingen, isCapitalOf, Schaffhausen>
<Gipf-Oberfrick, isCapitalOf, Aargau>
<Pun, isCapitalOf, Bahawalpur District>
<City, isCapitalOf, Junagadh & Manavadar>
<Kiev, isCapitalOf, Ukraine>
<Pun, isCapitalOf, Bahawalnagar District>
<Bolken, isCapitalOf, Switzerland>
<Braunschweig, isCapitalOf, Germany>
<Mümliswil-Ramiswil, isCapitalOf, Switzerland>
<Elblag, isCapitalOf, Poland>
<Wellington, isCapitalOf, New Zealand>
<Gaborone, isCapitalOf, Botswana>
<Leiden, isCapitalOf, Netherlands>
<Anzère, isCapitalOf, Valais>
<City of Halifax, isCapitalOf, Nova Scotia>
<Southampton, isCapitalOf, United Kingdom>
<Le Peuchapatte, isCapitalOf, Switzerland>
<Aigues-Mortes, isCapitalOf, France>
<Paderborn, isCapitalOf, Germany>
<Jay, isCapitalOf, New Guinea>
<Nijmegen, isCapitalOf, Netherlands>
<Frauenfeld, isCapitalOf, Thurgau>
<Venlo, isCapitalOf, Netherlands>
<Ranchi, isCapitalOf, Jharkhand>
<Freetown, isCapitalOf, Africa>
<Alchenstorf, isCapitalOf, Switzerland>
<Trento, isCapitalOf, U.S. state>
<Province, isCapitalOf, Nowshera District>
<Sun, isCapitalOf, Washington>
<Dakar, isCapitalOf, Senegal>
<Urban, isCapitalOf, U.S. state>
<Osco, isCapitalOf, Ticino>
<Valdivia, isCapitalOf, Region>
<Hiroshima, isCapitalOf, Hiroshima>
<Jerusalem, isCapitalOf, Kingdom>
<Belgrade, isCapitalOf, Serbia>
<Olten, isCapitalOf, Olten>
<Amman, isCapitalOf, Switzerland>
<Bat, isCapitalOf, U.S. state>
<Hatay, isCapitalOf, Turkey>
<Winchester, isCapitalOf, Hampshire>
<Spring, isCapitalOf, U.S. state>
<Bydgoszcz, isCapitalOf, Poland>
<Dordrecht, isCapitalOf, Netherlands>
<Rudolfstetten-Friedlisberg, isCapitalOf, Aargau>
<Amersfoort, isCapitalOf, Netherlands>
<Siglistorf, isCapitalOf, Aargau>
<Aarau, isCapitalOf, Aargau>
<Arnhem, isCapitalOf, Netherlands>
<Yak, isCapitalOf, Washington>
<Ciudad Juárez, isCapitalOf, Chihuahua>
<Beringen, isCapitalOf, Schaffhausen>
<Sirnach, isCapitalOf, Thurgau>
<Female ejaculation, isCapitalOf, Aristotle>
<Zaragoza, isCapitalOf, Aragon>
<Province, isCapitalOf, Chitral District>
<Matiari, isCapitalOf, District>
<Province, isCapitalOf, Bannu District>
<Helen, isCapitalOf, U.S. state>
<Lajoux, isCapitalOf, Switzerland>
<Le Bémont, isCapitalOf, Switzerland>
<Großenhain, isCapitalOf, Riesa-Großenhain Rural District>
<Full-Reuenthal, isCapitalOf, Aargau>
<Zuzgen, isCapitalOf, Aargau>
<Rüdlingen, isCapitalOf, Schaffhausen>
<May, isCapitalOf, Plymouth, Massachusetts>
<Olbia, isCapitalOf, Sardinia>
<Zetzwil, isCapitalOf, Aargau>
<Ell, isCapitalOf, Washington>
<Province, isCapitalOf, Tank District>
<Günsberg, isCapitalOf, Switzerland>
<And did those feet in ancient time, isCapitalOf, William Blake>
<Maseru, isCapitalOf, Lesotho>
<Union, isCapitalOf, Washington>
<Alaska, isCapitalOf, Alaska>
<Saint-Brais, isCapitalOf, Switzerland>
<Quito, isCapitalOf, Ecuador>
<Chennai, isCapitalOf, India>
<Helsinki, isCapitalOf, Finland>
<Dalpe, isCapitalOf, Ticino>
<Siena, isCapitalOf, Tuscany>
<Laupersdorf, isCapitalOf, Switzerland>
<Mendrisio, isCapitalOf, Ticino>
<Hägglingen, isCapitalOf, Aargau>
<Jacobabad, isCapitalOf, District>
<Adelboden, isCapitalOf, Switzerland>
<Oensingen, isCapitalOf, Switzerland>
<Cavagnago, isCapitalOf, Ticino>
<Magdeburg, isCapitalOf, Saxony-Anhalt>
<Widen, isCapitalOf, Aargau>
<Wells, isCapitalOf, Somerset>
<Ueken, isCapitalOf, Aargau>
<Maputo, isCapitalOf, Mozambique>
<Greek language, isCapitalOf, Lesbos>
<Vaduz, isCapitalOf, Liechtenstein>
<Kentucky, isCapitalOf, Kentucky>
<Europe, isCapitalOf, U.S. state>
<Birgisch, isCapitalOf, Valais>
<Aswan, isCapitalOf, Egypt>
<Rome, isCapitalOf, Italy>
<Manama, isCapitalOf, Bahrain>
<Moscow, isCapitalOf, Russian Orthodox Church>
<Ludiano, isCapitalOf, Ticino>
<Ancona, isCapitalOf, Ancona>
<Olten, isCapitalOf, Switzerland>
<Jena, isCapitalOf, Germany>
<Wängi, isCapitalOf, Thurgau>
<Böbikon, isCapitalOf, Aargau>
<Leuggern, isCapitalOf, Aargau>
<Canberra, isCapitalOf, Australia>
<Walchwil, isCapitalOf, Zug>
<Kathmandu, isCapitalOf, Nepal>
<Park, isCapitalOf, U.S. state>
<Nyon, isCapitalOf, Vaud>
<Basel, isCapitalOf, North>
<Almere, isCapitalOf, Netherlands>
<Evolène, isCapitalOf, Valais>
<Roseau, isCapitalOf, Caribbean>
<Lenzburg, isCapitalOf, Aargau>
<Mamoudzou, isCapitalOf, Mayotte>
<Zwickau, isCapitalOf, German>
<Aefligen, isCapitalOf, Switzerland>
<Bichelsee-Balterswil, isCapitalOf, Thurgau>
<Milan, isCapitalOf, Milan>
<Thayngen, isCapitalOf, Schaffhausen>
<Aigle, isCapitalOf, Aigle>
<York, isCapitalOf, U.S. state>
